district,at_large,first_name,last_name,gender,ethnicity,date_of_birth,entered_office,term_end,title,party,email,phone,address,twitter_url,facebook_url,photo_url
1,no,Charles,Jones,male,african-american,,2015-01-06,2018-12-31,councilor,nonpartisan,District1@sanjoseca.gov,408-535-4901,"200 E. Santa Clara Street, 18th Floor, San Jose, CA 95113",https://twitter.com/chappiejones,https://www.facebook.com/chappiejones,https://i0.wp.com/sjdistrict1.com/wp-content/uploads/2014/12/Chappie-Jones-300x420px.png?w=300
2,no,Sergio,Jimenez,male,hispanic-american,,2016-11-29,2020-12-31,councilor,nonpartisan,District2@sanjoseca.gov,408-535-4902,"200 E. Santa Clara Street, 18th Floor, San Jose, CA 95113",https://twitter.com/sergio4d2,https://www.facebook.com/sergio4D2/,https://ballotpedia.org/Sergio_Jimenez
3,no,Raul,Peralez,male,hispanic-american,,2015-01-06,2018-12-31,councilor,nonpartisan,District3@sanjoseca.gov,408-535-4903,"200 E. Santa Clara Street, 18th Floor, San Jose, CA 95113",https://twitter.com/d3sanjose,https://www.facebook.com/raulrperalez,http://www.sanjoseca.gov/images/pages/N151/Raul%20head%20shot.jpg
4,no,Lan,Diep,male,asian-american,,2017-01-24,2020-12-31,councilor,republican,District4@sanjoseca.gov,408-535-4904,"200 E. Santa Clara Street, 18th Floor, San Jose, CA 95113",https://twitter.com/SanJoseD4,https://www.facebook.com/SanJoseD4/,http://www.sanjoseca.gov/images/pages/N152/D4-Lan-Diep-web.jpg
5,no,Magdalena,Carrasco,female,hispanic-american,,2015-01-06,2018-12-31,vice-mayor,democrat,District5@sanjoseca.gov,408-535-4905,"200 E. Santa Clara Street, 18th Floor, San Jose, CA 95113",https://twitter.com/cm_magdalena,https://www.facebook.com/District5United/,http://www.sanjoseca.gov/images/pages/N150/2015.01.14%20FB%20Profile.jpg
6,no,Devora,Davis,female,white-american,,2017-01-24,2020-12-31,councilor,nonpartisan,District6@sanjoseca.gov,408-535-4906,"200 E. Santa Clara Street, 18th Floor, San Jose, CA 95113",https://twitter.com/devdavisca,https://www.facebook.com/devdavisCA/,http://www.sanjoseca.gov/images/pages/N153/D6-Dev-Davis-web.jpg
7,no,Tam,Nguyen,male,asian-american,,2015-01-06,2018-12-31,councilor,nonpartisan,District7@sanjoseca.gov,408-535-4907,"200 E. Santa Clara Street, 18th Floor, San Jose, CA 95113",,https://www.facebook.com/tamnguyencouncildistrict7/,http://nebula.wsimg.com/10ab13f349dbc4e037fee1b1a6f9202f?AccessKeyId=859B5944D6008961F855&disposition=0&alloworigin=1
8,no,Sylvia,Arenas,female,hispanic-american,,2017-01-24,2020-12-31,councilor,democrat,District8@sanjoseca.gov,408-535-4908,"200 E. Santa Clara Street, 18th Floor, San Jose, CA 95113",https://twitter.com/votesylvia,https://www.facebook.com/people/Sylvia-Arenas/100009739455852,http://www.sanjoseca.gov/images/pages/N156/D8-Sylvia-Arenas-2-web.jpg
9,no,Donald,Rocha,male,hispanic-american,,2011-01-01,2018-12-31,councilor,nonpartisan,District9@sanjoseca.gov,408-535-4909,"200 E. Santa Clara Street, 18th Floor, San Jose, CA 95113",,https://www.facebook.com/donald.rocha.90,http://www.sanjoseca.gov/images/pages/N155/IMG_3533%20crop.jpg
10,no,Johnny,Khamis,male,unspecified,,2013-01-01,2020-12-31,councilor,republican,District10@sanjoseca.gov,408-535-4910,"200 E. Santa Clara Street, 18th Floor, San Jose, CA 95113",https://twitter.com/johnnykhamis,https://www.facebook.com/johnny.khamis,http://nebula.wsimg.com/a30837813bcb3ed3ff1c0f1e1e661fd3?AccessKeyId=EE685538F3D509FF9177&disposition=0&alloworigin=1
,no,Sam,Liccardo,male,hispanic-american,,2015-01-06,2018-12-31,mayor,nonpartisan,mayoremail@sanjoseca.gov,408-535-4800,"200 E. Santa Clara Street, 18th Floor, San Jose, CA 95113",https://twitter.com/sliccardo,https://www.facebook.com/SamLiccardo1/,https://ballotpedia.org/wiki/images/thumb/7/71/SamLiccaro12.jpeg/200px-SamLiccaro12.jpeg
